image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,loss_weight,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,edge_mae,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,loss_weighting,loss_weight_beta,loss_weight_mean,loss_weight_max,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp,arm,source_dir
kodim01,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.7503,0.66581,0.87658,,0.06031,23.605956143741214,observed,,{},,2000,1500,False,,0.3555405139923095,5.294164419174194,6.168208360671997,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,single_1500,single_1500
kodim01,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,23.5556,0.6631,0.87046,,0.060476,23.61961273195904,observed,,{},,2000,1500,False,,0.7285842895507812,5.038330793380737,5.772238969802856,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,single_1500,single_1500
kodim01,5000,0,5000,5000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.5663,0.76306,0.92724,,0.046787,25.429016622246863,observed,,{},,5000,1500,False,,0.8697187900543213,4.64297342300415,5.516396999359131,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,3.2552,,,single_1500,single_1500
kodim01,5000,0,5000,5000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.4443,0.76348,0.92602,,0.047108,25.4952709154736,observed,,{},,5000,1500,False,,1.6373190879821775,4.752824306488037,6.3940370082855225,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,3.2552,,,single_1500,single_1500
kodim07,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.6996,0.87142,0.9395,,0.039506,27.554972610448186,observed,,{},,2000,1500,False,,0.3026084899902344,4.873820781707764,5.180243253707886,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,single_1500,single_1500
kodim07,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,25.4897,0.8725,0.93821,,0.039455,27.739478468179225,observed,,{},,2000,1500,False,,0.7042114734649658,4.683631181716919,5.391913414001465,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,single_1500,single_1500
kodim07,5000,0,5000,5000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,32.6475,0.94383,0.98555,,0.019218,33.00327685358049,observed,,{},,5000,1500,False,,0.9428839683532716,4.837054252624512,5.783649682998657,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,3.2552,,,single_1500,single_1500
kodim07,5000,0,5000,5000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,33.3024,0.9444,0.98652,,0.019556,33.19543841682012,observed,,{},,5000,1500,False,,1.5417728424072266,4.933730363845825,6.480473279953003,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,3.2552,,,single_1500,single_1500
kodim13,2000,0,2000,2000,aniso_onedge,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=aniso_onedge|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,20.2951,0.50591,0.79866,,0.095207,20.46915054321289,observed,,{},,2000,1500,False,,0.2858781814575195,5.258689880371094,5.549558877944946,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,single_1500,single_1500
kodim13,2000,0,2000,2000,quadtree_wse,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,none,adam,none,off,off,off,single,none,sampled_add,off,target,off,off,none,strategy=quadtree_wse|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|loss_weight=none|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=sampled_add|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,20.3094,0.50379,0.79853,,0.095377,20.4346803763137,observed,,{},,2000,1500,False,,0.5792059898376465,4.99826979637146,5.582338333129883,0,,,,,,,,,,,,,none,0.0001,32,0,,none,1.0,,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,1.3021,,,single_1500,single_1500
