image,seed,arm,refine_site,responsibility_mass_alpha,start_count,final_count,pre_psnr,immediate_psnr,post20_psnr,post100_psnr,score_seconds,intervention_seconds,fit20_seconds,fit100_seconds,total100_seconds,scores_finite,renders_finite,site_score_mean,site_score_max,responsibility_mass_mean,responsibility_mass_min,responsibility_mass_max,responsibility_error_mean,parent_ids,parent_jaccard_vs_residual,parent_jaccard_vs_support
COCO_train2014_000000000009,0,residual,residual,,64,80,17.883354,17.173365,18.827349,21.011221,8.8e-05,0.000678,0.230564,1.116292,1.11697,True,True,0.21407116949558258,0.4440637528896332,,,,,"[12,25,60,1,11,40,56,35,57,42,7,29,45,46,6,10]",1.0,0.230769
COCO_train2014_000000000009,0,support,support,,64,80,17.883354,17.079643,18.824646,20.728998,0.003628,0.004128,0.224171,1.11779,1.121918,True,True,0.13520018756389618,0.20428216457366943,,,,,"[12,10,7,44,17,43,8,48,13,2,6,62,1,58,25,4]",0.230769,1.0
COCO_train2014_000000000009,0,responsibility_alpha1,responsibility,1.0,64,80,17.883354,17.064995,18.810474,20.76609,0.00706,0.007658,0.226864,1.082796,1.090453,True,True,0.03169246390461922,0.06653598695993423,37.68684005737305,10.957317352294922,140.39776611328125,1.0898282527923584,"[12,10,44,7,17,43,13,48,2,6,8,25,15,62,1,11]",0.28,0.777778
COCO_train2014_000000000009,0,responsibility_alpha0.7,responsibility,0.7,64,80,17.883354,16.985554,18.850389,20.811867,0.007155,0.00769,0.237071,1.148571,1.156261,True,True,0.09180653095245361,0.16775833070278168,57.12617492675781,11.18476676940918,140.39776611328125,1.4524847269058228,"[12,10,7,1,13,0,44,59,6,11,17,62,43,48,60,45]",0.333333,0.52381
COCO_train2014_000000000009,1,residual,residual,,64,80,17.700504,17.026693,18.428766,19.933111,0.0001,0.000586,0.254425,1.256366,1.256951,True,True,0.1752006709575653,0.4146852493286133,,,,,"[63,50,57,23,25,17,45,3,26,4,13,55,44,52,51,28]",1.0,0.333333
COCO_train2014_000000000009,1,support,support,,64,80,17.700504,16.656425,18.374498,19.935911,0.003847,0.00433,0.260923,1.305382,1.309712,True,True,0.12430115789175034,0.16379038989543915,,,,,"[45,10,26,52,46,40,63,5,7,58,4,48,17,57,50,0]",0.333333,1.0
COCO_train2014_000000000009,1,responsibility_alpha1,responsibility,1.0,64,80,17.700504,16.973701,18.370058,20.147562,0.008073,0.008659,0.265722,1.30641,1.315069,True,True,0.030095111578702927,0.06719072163105011,40.32949447631836,15.534272193908691,109.37240600585938,1.2408428192138672,"[26,10,45,52,8,7,46,63,5,40,9,3,50,17,12,13]",0.333333,0.52381
COCO_train2014_000000000009,1,responsibility_alpha0.7,responsibility,0.7,64,80,17.700504,17.058867,18.441959,20.214695,0.007069,0.00759,0.251393,1.297481,1.305071,True,True,0.0926763042807579,0.19417737424373627,52.81011962890625,15.534272193908691,109.37240600585938,1.488848090171814,"[10,26,52,45,63,50,3,8,0,57,4,40,7,47,9,5]",0.333333,0.6
COCO_train2014_000000000025,0,residual,residual,,64,80,20.795765,20.646175,21.747887,23.187601,8.1e-05,0.000518,0.193388,0.995006,0.995524,True,True,0.109686478972435,0.18381613492965698,,,,,"[35,51,36,31,55,6,8,34,3,42,44,56,41,57,17,38]",1.0,0.230769
COCO_train2014_000000000025,0,support,support,,64,80,20.795765,20.653183,21.957033,23.18148,0.003095,0.003623,0.190038,0.952617,0.95624,True,True,0.09684159606695175,0.1225467398762703,,,,,"[35,14,20,4,54,36,31,56,27,46,6,26,33,22,3,50]",0.230769,1.0
COCO_train2014_000000000025,0,responsibility_alpha1,responsibility,1.0,64,80,20.795765,20.568871,21.881374,23.256992,0.006019,0.006601,0.198419,0.965088,0.971689,True,True,0.01647697575390339,0.027883004397153854,20.300933837890625,5.29671049118042,38.83415222167969,0.3021574020385742,"[14,35,4,20,54,36,27,26,31,33,22,25,56,8,57,46]",0.230769,0.684211
COCO_train2014_000000000025,0,responsibility_alpha0.7,responsibility,0.7,64,80,20.795765,20.472664,21.857574,23.235968,0.005707,0.006264,0.194782,0.961856,0.96812,True,True,0.03946825861930847,0.06528626382350922,40.63360595703125,5.29671049118042,152.6983184814453,0.47071266174316406,"[35,20,14,27,4,31,61,36,23,22,8,57,6,29,47,54]",0.230769,0.454545
COCO_train2014_000000000025,1,residual,residual,,64,80,20.938591,20.604277,21.803019,23.176994,7.9e-05,0.000531,0.181569,0.928124,0.928655,True,True,0.1531725525856018,0.2624027729034424,,,,,"[25,21,37,54,62,56,42,27,50,15,22,7,63,32,20,57]",1.0,0.230769
COCO_train2014_000000000025,1,support,support,,64,80,20.938591,20.826427,21.889416,23.184433,0.002907,0.003398,0.182424,0.975652,0.979051,True,True,0.09570911526679993,0.12658654153347015,,,,,"[56,54,13,4,22,28,3,20,44,0,23,29,45,27,21,35]",0.230769,1.0
COCO_train2014_000000000025,1,responsibility_alpha1,responsibility,1.0,64,80,20.938591,20.829842,21.844917,23.157827,0.005239,0.005741,0.182999,0.933979,0.93972,True,True,0.01701558753848076,0.029476558789610863,20.285484313964844,3.758765935897827,68.85537719726562,0.2918076813220978,"[4,13,54,56,2,28,14,3,22,20,35,29,0,23,21,44]",0.185185,0.777778
